subjects	S	instruction	R	rt
1	left	accuracy	left	1.09169362336459
1	right	accuracy	right	1.15228775236969
1	left	accuracy	left	0.956536506211873
1	right	speed	right	0.625203811100201
1	right	accuracy	right	1.08032574225988
1	right	speed	right	0.799162019852849
1	left	speed	left	0.846490139910583
1	right	accuracy	left	4.18488229970577
1	left	accuracy	left	0.676747423038304
1	right	accuracy	right	1.3370080976991
1	right	speed	right	1.35103866659849
1	left	accuracy	right	0.941904560254075
1	left	speed	right	0.735978846513758
1	left	speed	left	0.797863130193794
1	right	speed	right	1.87436011783656
1	left	speed	left	1.33728587034889
1	left	speed	left	0.953629764107284
1	right	speed	right	1.07320190861447
1	right	accuracy	left	2.53443289351364
1	right	accuracy	right	1.93295277569394
1	right	accuracy	right	0.970323346391036
1	left	speed	left	0.847038476354903
1	right	speed	right	1.21307317754017
1	left	accuracy	left	0.925469723281785
1	left	accuracy	right	1.23591919454419
1	left	accuracy	left	1.89800690768886
1	left	speed	left	1.25654746814812
1	left	speed	right	0.912723927604293
1	left	accuracy	left	0.791495242462987
1	right	accuracy	right	0.6804802964647
1	left	accuracy	left	0.862650725154303
1	left	speed	left	1.07999645951056
1	right	speed	right	0.62389329843306
1	left	accuracy	left	0.994781938663195
1	left	speed	left	0.725180740540032
1	left	accuracy	left	2.97162898023568
1	right	speed	left	0.972468480571733
1	left	speed	right	0.821030264359358
1	right	accuracy	right	0.849836406202873
1	left	speed	left	0.726372435333928
1	left	speed	left	1.22647143190273
1	left	speed	left	1.00567381941614
1	left	speed	left	0.981805484025039
1	left	accuracy	left	1.81758641295517
1	right	speed	left	0.865210890240032
1	left	accuracy	right	2.41257061186096
1	left	accuracy	left	1.44207584738317
1	right	speed	right	1.22299038355413
1	left	speed	left	0.952324571406125
1	left	accuracy	left	1.41155658779605
1	left	accuracy	right	0.619646979385228
1	right	accuracy	right	1.31408615801585
1	right	speed	left	0.852661863569533
1	left	accuracy	left	1.45078931452912
1	right	accuracy	right	0.848798184638194
1	left	accuracy	right	2.26699388328412
1	right	speed	left	0.946971002279566
1	left	speed	right	1.25366966870831
1	right	accuracy	right	0.916179420829628
1	left	accuracy	right	2.52005946420658
1	left	accuracy	left	0.97590075186734
1	right	accuracy	right	2.09543963714113
1	right	accuracy	right	0.928944682030239
1	right	speed	right	1.18936553802997
1	left	speed	left	0.603200523428171
1	right	speed	right	0.757298224801304
1	left	accuracy	left	0.702065190954043
1	left	speed	left	0.70698501153199
1	right	accuracy	left	1.42001298883118
1	left	speed	right	0.687797934465695
1	right	speed	left	0.731827464772327
1	left	accuracy	left	1.08845050824857
1	right	accuracy	left	1.10215847644971
1	left	accuracy	left	1.38416677704696
1	right	speed	right	1.3000282457318
1	right	speed	left	0.80113600855838
1	right	speed	right	0.713684011056049
1	left	speed	left	0.583959831320475
1	left	speed	right	0.75013783828856
1	left	accuracy	right	0.863563021141138
1	left	accuracy	right	1.23235506852538
1	right	accuracy	right	2.34256019591416
1	left	speed	left	0.712201839933587
1	left	accuracy	left	1.70067816088017
1	right	accuracy	left	0.758116291595867
1	left	accuracy	left	0.910152975200125
1	right	accuracy	right	1.81898430134539
1	right	speed	right	0.706939923678996
1	left	speed	right	0.571130640701431
1	left	accuracy	right	1.52682585409534
1	left	speed	left	2.58011824209438
1	right	accuracy	right	1.65401928081033
1	right	accuracy	right	1.34496996741724
1	left	accuracy	left	0.638424313893817
1	right	accuracy	right	0.894899220283131
1	right	accuracy	right	0.715315537746059
1	left	speed	left	0.823990933011231
1	right	speed	right	0.986617613701621
1	right	accuracy	right	1.49739013622863
1	left	accuracy	left	1.0115096424558
1	right	accuracy	right	0.90124426295554
1	right	accuracy	right	0.904053635752065
1	left	accuracy	right	0.703539338046385
1	left	speed	left	1.14105485189072
1	right	accuracy	right	1.15012364024092
1	right	speed	right	1.0348871061506
1	right	speed	left	1.90961558335525
1	left	speed	left	0.659481087288451
1	left	speed	right	0.725438352509521
1	left	accuracy	left	1.11422376804188
1	right	speed	right	1.05953891326061
1	left	accuracy	left	1.01573765351812
1	right	accuracy	left	0.699495399231283
1	left	accuracy	left	0.919735605533297
1	left	speed	right	1.28052412025479
1	left	accuracy	left	0.661731106680953
1	right	accuracy	right	2.09820001380243
1	right	accuracy	right	0.996015448560033
1	right	speed	right	0.774457972802815
1	right	speed	right	1.37316875175912
1	left	accuracy	left	0.989966253909206
1	left	accuracy	left	0.795182207334578
1	left	speed	right	0.928193126968072
1	right	speed	right	1.05522583096326
1	left	speed	left	0.718675186817798
1	left	speed	left	0.692349133773157
1	left	accuracy	left	2.02049886610697
1	left	speed	right	1.36823769845186
1	left	speed	left	0.865466790329928
1	right	speed	right	1.76029851973708
1	left	accuracy	left	1.42745551341441
1	left	accuracy	left	0.854985711066998
1	right	speed	right	0.612924441330578
1	right	accuracy	right	1.07215336175209
1	left	accuracy	left	1.39755029274046
1	left	accuracy	left	0.783486477419122
1	left	accuracy	right	0.784062499278467
1	right	speed	right	1.16304061731353
1	right	speed	right	0.822835764901175
1	right	speed	right	0.760165831022066
1	left	speed	left	0.939934922706422
1	right	accuracy	left	1.27351630566784
1	right	accuracy	right	1.50621907730919
1	right	accuracy	right	1.69939714748981
1	right	speed	right	0.824301670243599
1	right	accuracy	right	1.18237754717213
1	right	accuracy	right	0.973949404747709
1	left	speed	left	0.804974988625096
1	right	speed	right	1.07064631581069
1	right	speed	right	1.74286537579988
1	right	accuracy	left	0.729751545053105
1	right	accuracy	right	2.30528077236623
1	left	speed	right	0.802815808167411
1	right	speed	right	0.968844186947296
1	left	speed	left	1.05845279155799
1	right	speed	left	1.04607718480008
1	left	speed	left	0.854917822845836
1	right	speed	right	0.600378197277322
1	right	speed	right	0.892765051234826
1	left	speed	right	0.592734890237787
1	right	accuracy	right	1.26914237160565
1	left	speed	left	1.98849529035944
1	right	accuracy	right	3.2357108535482
1	right	speed	right	0.596583000339853
1	right	accuracy	right	0.927888711972961
1	right	accuracy	left	1.015140729767
1	right	speed	right	0.971914006578468
1	right	speed	right	0.912584669328777
1	left	accuracy	left	1.26762246299071
1	right	speed	left	1.10847353964201
1	left	speed	right	0.80678919031875
1	right	accuracy	right	0.642580975706606
1	right	speed	left	0.894672562800766
1	right	accuracy	right	2.53900763068201
1	right	speed	right	0.899544604474716
1	right	speed	right	0.840267115524707
1	left	speed	left	1.92233528965948
1	right	speed	right	1.01740054727165
1	right	accuracy	left	2.54607193854905
1	left	accuracy	left	1.03304939561325
1	left	speed	left	1.65106687192973
1	right	speed	left	0.887294618964525
1	left	speed	left	0.686099239147083
1	left	accuracy	left	0.790741952088031
1	right	speed	left	0.789663823586018
1	right	speed	right	0.838664135290867
1	left	speed	left	0.940492959095864
1	right	accuracy	right	1.23565923428608
1	left	accuracy	left	2.60828151324223
1	left	speed	left	0.873151335026488
1	right	accuracy	left	1.29691659319014
1	left	speed	left	1.01827375059308
1	left	accuracy	left	1.07566861475351
1	right	speed	right	0.763693950413978
1	right	speed	right	1.05276594969817
1	left	accuracy	left	2.12865837550208
1	left	accuracy	right	1.45843008586034
1	right	accuracy	right	2.34225695474085
1	left	accuracy	left	1.27336370166521
1	right	speed	right	0.947265752008566
1	right	speed	left	0.676636238493293
1	right	speed	left	0.615349966057755
1	right	speed	right	0.958259722078072
1	left	speed	left	1.67980951225263
1	left	speed	left	1.27700989744854
1	right	accuracy	right	2.59710761355797
1	left	accuracy	left	0.880958486140656
1	left	accuracy	left	0.725755026436559
1	left	accuracy	right	1.40372871855704
1	right	speed	right	0.87683127819061
1	right	speed	left	0.614328398204534
1	right	speed	right	1.19128831040696
1	right	speed	right	1.08036746019629
1	left	accuracy	right	1.55680139554624
1	left	accuracy	right	0.825284640507917
1	right	accuracy	right	0.678826282650784
1	left	speed	left	0.72874622999002
1	right	speed	right	0.63337627435148
1	right	accuracy	right	1.24353300585352
1	right	accuracy	left	1.80276317010296
1	right	accuracy	left	1.26150219223023
1	right	accuracy	right	0.839660407846168
1	right	speed	right	0.900936918758968
1	right	accuracy	right	1.09148608124668
1	right	speed	right	0.654019655750816
1	left	accuracy	left	1.23235696007757
1	left	accuracy	left	0.67860158055167
1	left	accuracy	left	1.07782475901639
1	right	accuracy	right	1.03031322516339
1	left	speed	left	2.21022461547644
1	right	accuracy	right	1.42603788545721
1	left	accuracy	left	1.67289490344648
1	right	accuracy	right	0.810473065876105
1	left	speed	right	1.8326443382021
1	left	accuracy	left	0.682636393481146
1	left	accuracy	right	1.37780897645846
1	right	speed	right	1.07737813465866
1	left	accuracy	left	1.23178617057457
1	right	accuracy	right	0.872736327706018
1	left	speed	left	1.48617501018768
1	right	speed	left	1.36868860687072
1	right	accuracy	right	0.576882434077404
1	left	speed	left	0.629202379701941
1	left	accuracy	left	0.956898211140047
1	right	accuracy	right	0.755383049225146
1	right	accuracy	right	0.952253185892159
1	right	speed	right	0.90933277333898
1	left	accuracy	left	0.992302361354341
1	right	speed	right	0.899541950328992
1	right	speed	right	1.04989449509938
1	right	speed	left	0.674939386467587
1	right	accuracy	left	2.91422079445264
1	left	speed	left	2.24019094327076
1	left	accuracy	left	1.39746641398626
1	right	accuracy	right	0.838812259346124
1	right	accuracy	right	1.36397986203706
1	left	speed	left	1.15572248439437
1	left	speed	left	1.04297263107222
1	right	accuracy	right	2.00210913277434
1	left	accuracy	right	0.972798041842041
1	right	accuracy	right	1.70396169425836
1	right	speed	right	1.27181590741943
1	left	accuracy	left	0.971998598883247
1	left	speed	left	1.17361521336977
1	right	speed	right	0.879442572572809
1	left	accuracy	left	1.11108367732716
1	left	accuracy	right	1.21999316373628
1	left	speed	left	0.935570583619505
1	right	speed	right	0.9436520842775
1	right	speed	right	0.924730915411875
1	left	accuracy	left	1.58399525331262
1	right	speed	left	1.61029933337414
1	left	accuracy	right	1.60509253255717
1	left	accuracy	left	1.33239202461736
1	right	speed	right	0.632326603370363
1	left	speed	left	0.746699222537158
1	right	speed	right	1.09464976876841
1	right	accuracy	right	0.607017300980957
1	left	speed	left	0.858950851566675
1	right	speed	right	0.76081316618491
1	right	accuracy	left	1.07984994210629
1	right	accuracy	right	0.685088257918165
1	right	accuracy	left	1.72845122948663
1	right	speed	right	0.741125979766049
1	left	speed	left	1.09368092874836
1	right	accuracy	right	4.18934495940795
1	left	speed	left	0.780839520086955
1	right	accuracy	right	0.892827560161008
1	right	speed	left	1.21876672595809
1	right	accuracy	left	0.851063074811027
1	right	speed	right	0.907799257617314
1	right	speed	left	0.617601777959629
1	right	accuracy	right	0.830616444582458
1	right	speed	right	0.760094801702121
1	left	accuracy	left	0.747516763378148
1	left	accuracy	left	0.925507231963625
1	right	accuracy	right	0.994623468935802
1	right	speed	right	0.955954343796008
1	left	accuracy	left	0.989553288334702
1	left	speed	left	1.00633865087867
1	left	accuracy	right	0.689663468367895
1	left	accuracy	left	1.47657086109758
1	left	speed	left	1.58612187227428
1	right	accuracy	left	2.55932859570324
1	right	accuracy	right	0.865197482165228
1	right	speed	right	0.774847508180748
1	right	accuracy	right	0.807838183431043
1	left	speed	left	0.824088772420944
1	right	accuracy	right	0.677634991612546
1	right	speed	left	0.901932851570829
1	left	accuracy	left	1.153393218529
1	right	accuracy	right	1.25652181196325
1	left	speed	left	2.38137292958406
1	right	speed	right	0.854465889911536
1	right	speed	right	0.83906351356017
1	left	speed	right	1.01999536490413
1	left	speed	left	1.00451634631635
1	left	speed	right	1.03645856379548
1	left	speed	right	1.02153501936284
1	left	accuracy	left	0.764839095833981
1	right	speed	right	0.84162191979197
1	right	accuracy	left	1.70765984583275
1	left	speed	left	0.818273405991871
1	right	accuracy	right	1.55627653133548
1	right	accuracy	right	1.26133230039219
1	right	accuracy	right	1.76259106614809
1	right	speed	right	0.663724796480337
1	left	speed	left	0.82051204209682
1	right	accuracy	right	0.642740571637537
1	right	speed	left	0.870822228375307
1	right	accuracy	right	2.72605723485407
1	left	speed	left	0.633961654810572
1	left	speed	right	0.807912851814616
1	right	accuracy	right	1.64788706069965
1	left	speed	left	0.635747725715341
1	left	accuracy	left	1.14212885960458
1	right	accuracy	right	0.679753110391775
1	left	accuracy	left	2.03918101969775
1	left	accuracy	right	1.53200959712345
1	right	accuracy	right	1.39245123231549
1	right	accuracy	right	1.75487781930206
1	right	speed	left	0.867696935630011
1	left	speed	left	0.611689771711563
1	left	speed	right	0.543646414839625
1	right	speed	right	0.558255391005789
1	left	accuracy	left	0.881945390115623
1	left	speed	right	0.644044717629091
1	right	accuracy	right	0.701420216436484
1	right	speed	left	0.852583863268902
1	left	accuracy	left	1.26920897821489
1	right	accuracy	right	0.661050402304817
1	right	speed	right	0.706561958192337
1	left	speed	left	0.716085988519039
1	left	speed	right	0.599148137655651
1	right	accuracy	left	0.759176156540613
1	right	speed	right	0.985963973522065
1	right	accuracy	right	1.23285802864289
1	left	accuracy	left	0.951431643638678
1	left	accuracy	right	1.18521441301158
1	left	speed	left	0.704360419677648
1	right	accuracy	right	2.39216636206388
1	right	accuracy	right	0.971467814525793
1	left	accuracy	left	0.933135059899917
1	right	accuracy	right	1.66734494777821
1	left	accuracy	right	1.65594978683431
2	left	accuracy	left	0.5237031468195
2	left	accuracy	right	0.563167135545267
2	left	speed	left	0.712145399544629
2	left	speed	right	1.15510283128254
2	left	speed	left	0.517588022744696
2	left	accuracy	left	0.610567145304986
2	right	speed	right	0.554363403137309
2	left	speed	left	0.492120229773668
2	right	accuracy	right	0.860606759884505
2	left	speed	left	0.514241470733921
2	right	speed	right	0.73092164351131
2	right	accuracy	right	0.624698104062607
2	right	accuracy	left	0.669514411560037
2	right	accuracy	right	0.482701938232039
2	left	speed	left	0.635894316575798
2	right	accuracy	right	1.36065434731355
2	right	speed	right	0.637987673139202
2	left	speed	left	0.825170434978364
2	left	accuracy	left	0.732313370881859
2	right	speed	right	0.469992506183228
2	right	speed	right	0.737554772516379
2	right	speed	right	0.534084874103678
2	right	speed	right	1.2533335985279
2	left	speed	right	0.59230361899122
2	right	speed	right	0.487727990786196
2	right	speed	left	0.590204225840403
2	left	accuracy	left	0.986151738819263
2	left	accuracy	left	0.742723971897668
2	right	speed	right	0.638415042398537
2	left	speed	left	0.560735483028069
2	left	accuracy	right	0.554778313821155
2	left	accuracy	right	0.535353834657342
2	right	accuracy	right	0.493007601911113
2	left	accuracy	left	0.67109254238674
2	right	speed	right	0.718243270087522
2	right	speed	right	0.745686025362447
2	right	speed	right	0.621389218995118
2	left	speed	left	0.546101564878406
2	left	accuracy	left	0.570126779177248
2	right	speed	right	0.491812457652168
2	left	accuracy	right	0.617006822823734
2	right	accuracy	left	0.652637758833254
2	left	accuracy	left	0.639702954221182
2	right	accuracy	right	0.96188375829028
2	right	speed	right	1.02518631683312
2	right	speed	right	0.464518640221601
2	right	accuracy	right	0.640480116837413
2	left	accuracy	left	0.584545582858984
2	left	accuracy	right	0.938762203139681
2	left	speed	left	0.772909745941317
2	right	accuracy	right	0.468084625877032
2	left	accuracy	left	0.606047044081831
2	right	speed	left	0.68381731686399
2	right	accuracy	right	1.02768309212258
2	left	speed	left	0.684257241253024
2	right	speed	left	0.491642051974243
2	right	speed	left	0.639504902183745
2	right	accuracy	right	0.545733943261154
2	right	accuracy	right	1.15050491289999
2	right	accuracy	right	0.80469553957532
2	right	speed	right	0.542439926769247
2	left	speed	left	1.22932490801252
2	right	speed	right	0.625650237321484
2	right	accuracy	left	0.520469165807896
2	left	accuracy	right	0.696682690063354
2	right	speed	right	0.505666860741519
2	left	accuracy	left	0.764922261855153
2	right	accuracy	left	0.904290962712121
2	right	accuracy	left	0.498459298559297
2	left	accuracy	left	0.833180902670702
2	right	accuracy	left	0.86029231407681
2	right	accuracy	right	0.776219923694305
2	left	speed	left	0.527282190808994
2	right	accuracy	right	0.799168149008138
2	left	speed	left	0.522418691734966
2	right	speed	left	0.834184610624826
2	left	speed	left	0.586010266694816
2	left	speed	right	0.80218615639018
2	right	accuracy	right	0.885581984152002
2	right	speed	right	0.48442956509988
2	right	speed	left	0.474617238984394
2	right	accuracy	right	0.464483203999641
2	right	speed	right	0.501402026945471
2	right	accuracy	right	0.586398403696488
2	right	accuracy	left	0.688184142798828
2	right	accuracy	right	0.572669852208584
2	left	speed	right	0.471166015705132
2	right	speed	left	0.457049444149147
2	right	accuracy	right	0.902744282543486
2	right	speed	left	0.515288643558942
2	right	accuracy	left	1.15616300176834
2	right	speed	right	0.52829194932817
2	right	speed	right	0.577566660864798
2	right	accuracy	left	0.641102050471424
2	left	accuracy	left	0.541203559546416
2	left	accuracy	left	0.922950723915937
2	left	accuracy	left	1.48666815105616
2	right	accuracy	right	0.761407915674808
2	left	accuracy	left	0.607301700266744
2	right	accuracy	right	0.701031419535865
2	left	accuracy	right	0.703434995878788
2	right	accuracy	right	0.49132359248859
2	left	speed	left	0.501987930795258
2	left	accuracy	left	0.735095262583063
2	right	accuracy	left	0.670108110317887
2	right	accuracy	right	0.824145247427656
2	left	speed	left	0.652014573312213
2	left	accuracy	left	0.559058745602183
2	left	speed	left	0.476688434513106
2	right	accuracy	right	0.74214253758443
2	left	speed	right	0.475588187916651
2	left	speed	left	0.660088674162112
2	right	accuracy	right	0.477185477995109
2	right	speed	right	0.514584120522333
2	left	accuracy	left	0.641779939896075
2	left	accuracy	left	1.09460734727704
2	left	speed	left	0.684151009016158
2	left	accuracy	left	0.609434839547652
2	right	accuracy	right	0.797620568099108
2	right	speed	right	0.5555119813477
2	left	accuracy	left	0.753556507064197
2	right	speed	right	0.479511656797563
2	left	accuracy	right	0.627513511655513
2	left	speed	left	0.706060540547886
2	left	accuracy	right	0.515637151360298
2	right	speed	right	0.503316073030028
2	left	speed	left	0.460740801490663
2	left	accuracy	left	0.507491436792202
2	left	accuracy	left	0.52750322110165
2	right	accuracy	right	0.45810232871341
2	left	accuracy	right	0.556141776041772
2	left	speed	left	0.533233703839384
2	left	speed	right	0.501891066531862
2	left	accuracy	left	0.644095567401119
2	right	speed	right	0.464333538834565
2	left	speed	left	0.686085563626535
2	right	accuracy	right	0.635187954860696
2	right	accuracy	right	0.679264003999044
2	left	accuracy	left	0.61638119182326
2	left	accuracy	left	0.616232175892732
2	right	accuracy	right	0.627264848838481
2	left	accuracy	right	0.472978833664428
2	left	speed	left	0.500130043306763
2	left	speed	left	0.575152340779013
2	right	accuracy	right	0.608916705751422
2	right	speed	right	0.558027542794461
2	right	accuracy	left	0.699007517827633
2	right	accuracy	left	0.599927186405785
2	left	speed	left	0.469601195771848
2	right	accuracy	right	0.781279270242032
2	right	speed	right	0.651151080045238
2	right	speed	left	0.47589151275449
2	right	speed	right	0.531741001708402
2	left	speed	left	0.664969807659998
2	left	accuracy	left	0.596584808671537
2	right	speed	right	0.503611173051051
2	left	speed	left	0.554676012544159
2	right	accuracy	right	0.693692487202375
2	left	accuracy	left	0.600672610850926
2	right	speed	right	0.710202549127843
2	left	speed	left	0.487164712719529
2	right	speed	left	0.483378188847423
2	left	accuracy	right	0.922680480741751
2	right	accuracy	right	0.905165569879614
2	right	accuracy	right	0.986838432559446
2	left	accuracy	left	1.5371462575722
2	right	accuracy	right	1.39079094643412
2	left	speed	left	0.557003500605223
2	right	accuracy	left	0.632187917864579
2	left	accuracy	left	0.881629233923548
2	left	accuracy	right	0.727554674633615
2	right	accuracy	left	0.967102715692682
2	right	speed	right	0.569527661182642
2	right	speed	left	0.455736689152181
2	right	accuracy	right	0.599756638541627
2	left	speed	left	0.509805213804232
2	left	speed	right	0.694371228809395
2	right	accuracy	right	0.866527986037298
2	left	accuracy	right	0.46872673352177
2	left	accuracy	left	0.742605606419729
2	left	speed	left	0.833524509869982
2	right	speed	left	0.806529054381417
2	right	speed	left	0.536991960880386
2	right	accuracy	left	0.605492240724812
2	left	speed	left	0.895398461934419
2	left	accuracy	left	0.652012328252081
2	left	speed	left	0.549132606071842
2	right	accuracy	right	0.552563126494111
2	left	accuracy	left	1.16597126494031
2	right	accuracy	left	0.583197544898614
2	left	speed	right	0.774655657370484
2	right	accuracy	left	0.636551757308549
2	right	speed	right	0.625277115813353
2	right	speed	right	0.803493800143314
2	right	accuracy	left	1.76175919718318
2	right	accuracy	right	0.760513366378321
2	right	speed	right	0.625226649639348
2	left	speed	left	0.756875935892416
2	left	speed	right	0.513679553346744
2	right	accuracy	right	1.90206199447123
2	left	accuracy	left	0.616669309247248
2	right	speed	left	0.540557460361522
2	left	accuracy	left	0.483569018491886
2	right	accuracy	left	0.740443477314516
2	left	speed	right	0.64395744157514
2	left	accuracy	left	0.6160006014587
2	right	speed	left	0.621110963576814
2	right	accuracy	right	0.702860352681125
2	right	accuracy	left	0.792077754612731
2	left	accuracy	left	1.57784533837389
2	left	accuracy	right	0.864929627598552
2	right	speed	right	0.77069367020023
2	right	speed	right	0.577896189434553
2	right	accuracy	right	0.580390583278548
2	left	accuracy	left	0.73969134337639
2	left	speed	left	0.726305954521449
2	right	accuracy	left	0.533080764548343
2	right	accuracy	left	0.556097486369916
2	right	speed	right	0.905827605245556
2	right	accuracy	left	0.681505813473938
2	left	accuracy	left	0.526459884780924
2	left	accuracy	left	0.493616629667136
2	left	speed	right	0.489598236418052
2	right	speed	left	0.606466943093137
2	left	accuracy	left	0.88856630941807
2	left	accuracy	left	1.06508108308333
2	right	speed	left	0.61380721725968
2	left	speed	right	0.626751288070151
2	right	speed	right	0.583550272592012
2	left	speed	right	0.628010589324212
2	left	speed	left	0.505779893244961
2	right	speed	right	0.559940303486489
2	left	speed	left	0.745660590014488
2	left	accuracy	right	0.778042518623691
2	left	accuracy	left	0.653770130048678
2	left	speed	left	0.594936130478682
2	left	speed	left	1.52534428141808
2	left	speed	right	0.577713578551147
2	left	accuracy	left	1.33068582697087
2	right	accuracy	right	0.64693005437346
2	left	accuracy	left	1.04013977340978
2	left	accuracy	left	0.878741486513436
2	left	accuracy	left	0.47028370772043
2	left	accuracy	left	1.19393825121346
2	right	accuracy	right	1.00246310559108
2	right	speed	right	0.572056289441609
2	left	accuracy	left	0.618657195727757
2	left	accuracy	left	0.647226847386218
2	left	speed	right	0.64697609072414
2	left	accuracy	left	0.496744379093065
2	left	accuracy	right	0.978981414074544
2	left	accuracy	left	0.508032486790492
2	right	speed	left	0.983992173546214
2	left	accuracy	left	0.965064650761344
2	right	speed	right	0.684793854634983
2	left	speed	right	0.533909906540673
2	right	speed	right	0.593045094771883
2	right	accuracy	right	1.4768897068014
2	right	accuracy	left	0.52723500223985
2	right	accuracy	right	0.770542787752858
2	right	accuracy	left	0.782301901530096
2	right	speed	right	0.455279561370413
2	right	speed	right	0.550200456906651
2	left	accuracy	right	0.521167324779372
2	right	speed	right	0.624853745847818
2	right	speed	right	0.676612208894299
2	left	speed	left	0.947250237893325
2	left	speed	left	0.829657633167579
2	right	speed	right	0.514140384453443
2	left	accuracy	left	0.486336884642343
2	right	speed	right	0.526082880601654
2	right	speed	right	0.572473107310337
2	left	speed	left	0.626317893137297
2	right	speed	left	0.466492287894483
2	right	speed	left	0.530304666224914
2	right	speed	right	0.545516916323319
2	left	accuracy	left	0.93929418728899
2	right	accuracy	right	1.00127324513496
2	right	speed	right	0.560713163812723
2	right	accuracy	right	0.617328086614232
2	left	speed	right	0.6507261181804
2	right	accuracy	right	0.741193504711589
2	right	speed	right	0.485876292082833
2	right	speed	right	0.69517442704169
2	left	accuracy	right	0.593393182659846
2	right	accuracy	right	1.15798640589612
2	left	speed	right	0.584347519396171
2	right	speed	right	0.476927823994226
2	right	speed	right	0.485166046540986
2	right	accuracy	right	0.696444791743007
2	left	speed	right	0.669556651878156
2	left	accuracy	left	0.922645933854372
2	left	accuracy	left	0.790505702085241
2	left	speed	left	0.615465159403206
2	right	speed	right	0.565305994047947
2	left	speed	left	0.49111271646673
2	left	speed	left	0.663268105421763
2	left	speed	left	0.46675930729534
2	right	speed	right	0.555000844515079
2	left	accuracy	left	0.625611162101121
2	right	accuracy	right	1.40341253629623
2	left	accuracy	left	0.573590979548018
2	right	accuracy	left	0.61379390076322
2	right	speed	left	0.616780134398276
2	left	accuracy	right	0.527614463709036
2	right	accuracy	right	0.597284374273605
2	left	speed	right	0.548291785990055
2	right	speed	right	0.670106015528042
2	right	speed	right	0.588589573801126
2	left	speed	right	0.44680347074499
2	right	speed	right	0.517217275402616
2	right	speed	right	0.550193349091812
2	right	accuracy	right	0.628496088500882
2	left	accuracy	right	0.503909489853956
2	left	accuracy	left	0.729991009575548
